lay distribution,hatch distribution,initial chickens,bruteforce optimal fraction,bruteforce egg number,bruteforce real run time,expected value optimal_fraction,expected value egg number,expected value real run time
normal,normal,5,0.9,351086.3,15.105603999982122,0.4,409481,4.8588145000103395
gamma,normal,5,0.9,220808.5,15.094661400013138,0.0,0,6.161693400004879
exponential,normal,5,0.8,114137.1,14.6237294000166,0.5,0,4.794158600008814
normal,gamma,5,0.7000000000000001,289032.9,15.658270199986873,0.5,7272,5.899817299999995
gamma,gamma,5,0.8,172648.0,14.07077429999481,0.1,0,4.75300139997853
exponential,gamma,5,0.6000000000000001,118270.6,14.321088099997723,0.9,0,4.586895699991146
normal,exponential,5,0.8,261980.5,14.406147699977737,0.5,18934,5.147213999996893
gamma,exponential,5,0.8,118570.8,16.377755699999398,0.1,0,5.8064718000241555
exponential,exponential,5,0.7000000000000001,102117.7,14.900789299979806,0.30000000000000004,0,6.985437399998773
normal,normal,10,0.9,313122.7,17.147867199993925,0.7000000000000001,658470,6.860503999982029
gamma,normal,10,0.8,188948.7,14.762823500001105,0.4,234548,4.865049699990777
exponential,normal,10,0.8,143379.2,14.596560800011503,0.2,0,5.085295199998654
normal,gamma,10,0.9,405075.5,14.604843900015112,0.5,405598,4.666645999997854
gamma,gamma,10,0.7000000000000001,178442.5,14.179349200014258,0.8,14659,4.757640399999218
exponential,gamma,10,0.9,136197.4,14.022457799990661,0.30000000000000004,0,4.8480633000144735
normal,exponential,10,0.8,275809.5,14.13639920001151,0.30000000000000004,231290,4.808708399999887
gamma,exponential,10,0.6000000000000001,184348.5,14.385518199997023,0.6000000000000001,12009,4.641695199999958
exponential,exponential,10,0.8,117797.8,13.73659499999485,0.1,0,4.330084799992619
normal,normal,30,0.9,330866.8,14.224346300004981,0.9,1114681,4.823301500000525
gamma,normal,30,0.9,156869.1,14.233138000010513,0.6000000000000001,456860,4.705797400005395
exponential,normal,30,0.6000000000000001,167358.4,15.846374000015203,0.7000000000000001,163805,5.654862900002627
normal,gamma,30,0.8,290848.0,14.544718299992383,0.8,1040098,4.604748599987943
gamma,gamma,30,0.8,183171.1,14.232104299997445,0.6000000000000001,334661,5.965346800017869
exponential,gamma,30,0.7000000000000001,132072.6,13.826926100009587,0.4,113573,4.4306869999854825
normal,exponential,30,0.8,352501.9,14.206116899993503,0.6000000000000001,608880,4.576990900008241
gamma,exponential,30,0.7000000000000001,200410.2,13.970030900003621,0.4,147443,4.527994600008242
exponential,exponential,30,0.9,141550.9,14.081099400005769,0.2,62976,4.762110800016671
normal,normal,40,0.9,361468.0,14.699197999987518,0.7000000000000001,1686182,4.921556599991163
gamma,normal,40,0.8,269273.3,14.869810400006827,0.8,315805,4.598006099986378
exponential,normal,40,0.8,167840.6,13.995872600004077,0.8,460142,4.7432549000077415
normal,gamma,40,0.9,474543.4,15.115213399985805,0.5,973686,4.970623500004876
gamma,gamma,40,0.9,195745.3,14.127002699999139,0.7000000000000001,704710,4.885245200013742
exponential,gamma,40,0.7000000000000001,134709.7,13.953429799992591,0.5,146766,4.470539999980247
normal,exponential,40,0.9,299559.5,14.106822300003842,0.8,994839,5.048314200015739
gamma,exponential,40,0.5,197282.0,14.820202900009463,0.5,316786,4.8199878000014
exponential,exponential,40,0.7000000000000001,147864.2,13.800384300004225,0.4,111404,4.6088201999955345
normal,normal,50,0.9,345813.3,14.915026600006968,0.9,1170939,4.888000200007809
gamma,normal,50,0.8,231869.2,14.478027900011512,0.7000000000000001,354927,4.4016239999909885
exponential,normal,50,0.7000000000000001,149804.7,13.866983199986862,0.6000000000000001,318993,4.505230099981418
normal,gamma,50,0.9,328196.7,13.96102840002277,0.8,1964639,5.060399299982237
gamma,gamma,50,0.8,220845.0,13.852164100011578,0.7000000000000001,534228,4.580653999990318
exponential,gamma,50,0.8,212145.1,14.798631900019245,0.7000000000000001,181181,4.3406912999926135
normal,exponential,50,0.9,313269.9,13.65187450000667,0.7000000000000001,988840,4.782872800016776
gamma,exponential,50,0.8,212891.1,14.11307449999731,0.6000000000000001,231854,4.733033600001363
exponential,exponential,50,0.8,163599.7,14.34083230001852,0.5,161295,4.650383400003193